Learning Rate,Bias,Epoch,x1,x2,Yd,w1 inicial,w2 inicial,Y,Error,w1 final,w2 final
0.01,1.0,20,1,0,0,0.30084,0.38314,1,-1,0.29084,0.38314
0.01,1.0,20,1,1,1,0.29084,0.38314,1,0,0.29084,0.38314
0.01,1.0,21,0,0,0,0.29084,0.38314,1,-1,0.29084,0.38314
0.01,1.0,21,0,1,0,0.29084,0.38314,1,-1,0.29084,0.37314
0.01,1.0,21,1,0,0,0.29084,0.37314,1,-1,0.28084,0.37314
0.01,1.0,21,1,1,1,0.28084,0.37314,1,0,0.28084,0.37314
0.01,1.0,22,0,0,0,0.28084,0.37314,1,-1,0.28084,0.37314
0.01,1.0,22,0,1,0,0.28084,0.37314,1,-1,0.28084,0.36314
0.01,1.0,22,1,0,0,0.28084,0.36314,1,-1,0.27084,0.36314
0.01,1.0,22,1,1,1,0.27084,0.36314,1,0,0.27084,0.36314
